date,player,consensus_implied,best_price,homered,flat_bet_pl
2026-05-18,Sal Stewart,0.257,300,True,30.0
2026-05-18,Juan Soto,0.304,265,False,-10.0
2026-05-18,Aaron Judge,0.391,159,False,-10.0
2026-05-18,Jackson Chourio,0.262,320,False,-10.0
2026-05-18,Shea Langeliers,0.273,285,False,-10.0
2026-05-18,Munetaka Murakami,0.274,280,False,-10.0
2026-05-18,Shohei Ohtani,0.25,300,False,-10.0
2026-05-19,Bryce Harper,0.271,290,False,-10.0
2026-05-19,James Wood,0.257,300,True,30.0
2026-05-19,Aaron Judge,0.331,205,False,-10.0
2026-05-19,Yordan Alvarez,0.297,250,False,-10.0
2026-05-19,Shea Langeliers,0.269,300,False,-10.0
2026-05-19,Munetaka Murakami,0.282,290,False,-10.0
2026-05-19,Shohei Ohtani,0.283,265,False,-10.0
2026-05-20,Kyle Schwarber,0.4,150,False,-10.0
2026-05-20,Junior Caminero,0.254,305,False,-10.0
2026-05-20,Byron Buxton,0.261,310,False,-10.0
2026-05-20,Munetaka Murakami,0.26,340,False,-10.0
2026-05-20,Juan Soto,0.295,265,True,26.5
2026-05-20,Aaron Judge,0.308,265,False,-10.0
2026-05-20,Shohei Ohtani,0.277,325,True,32.5
2026-05-20,Nick Kurtz,0.261,310,False,-10.0
2026-05-21,Aaron Judge,0.303,255,False,-10.0
2026-05-21,Mike Trout,0.255,320,False,-10.0
2026-05-22,Kyle Schwarber,0.304,240,False,-10.0
2026-05-22,Aaron Judge,0.357,192,False,-10.0
2026-05-22,Byron Buxton,0.261,310,True,31.0
2026-05-22,Juan Soto,0.287,260,True,26.0
2026-05-22,Matt Olson,0.254,320,False,-10.0
2026-05-22,Shohei Ohtani,0.313,225,False,-10.0
2026-05-23,Jordan Walker,0.267,295,True,29.5
2026-05-23,Kyle Schwarber,0.328,205,False,-10.0
2026-05-23,Matt Olson,0.26,290,False,-10.0
2026-05-23,Shohei Ohtani,0.277,265,False,-10.0
2026-05-24,Aaron Judge,0.269,285,True,28.5
2026-05-24,Nolan Gorman,0.262,285,False,-10.0
2026-05-24,Shohei Ohtani,0.285,265,False,-10.0
2026-05-25,Byron Buxton,0.286,325,False,-10.0
2026-05-25,Aaron Judge,0.306,250,False,-10.0
2026-05-25,Kyle Schwarber,0.297,275,True,27.5
2026-05-25,Shohei Ohtani,0.336,240,False,-10.0
2026-05-25,Nick Kurtz,0.314,235,False,-10.0
2026-05-26,Byron Buxton,0.29,245,False,-10.0
2026-05-26,Aaron Judge,0.326,225,False,-10.0
2026-05-26,Yordan Alvarez,0.26,290,True,29.0
2026-05-26,Nick Kurtz,0.264,300,False,-10.0
2026-05-26,Kyle Schwarber,0.289,290,False,-10.0
2026-05-26,Shohei Ohtani,0.286,260,False,-10.0
2026-05-27,Shea Langeliers,0.25,350,False,-10.0
2026-05-27,Kyle Schwarber,0.283,275,False,-10.0
2026-05-27,Byron Buxton,0.279,265,True,26.5
2026-05-27,Aaron Judge,0.29,250,False,-10.0
2026-05-27,Yordan Alvarez,0.283,255,True,25.5
2026-05-27,Shohei Ohtani,0.323,250,True,25.0
2026-05-28,Munetaka Murakami,0.288,300,False,-10.0
2026-05-28,Yordan Alvarez,0.279,265,False,-10.0
2026-05-29,Matt Olson,0.276,300,False,-10.0
2026-05-29,Munetaka Murakami,0.302,250,False,-10.0
2026-05-29,Yordan Alvarez,0.272,300,False,-10.0
2026-05-29,Aaron Judge,0.334,210,False,-10.0
2026-05-29,Kyle Schwarber,0.306,245,True,24.5
2026-05-30,Yordan Alvarez,0.264,300,False,-10.0
